Bus1-generator(MW),Bus1-generator(MVR),Bus1-load(MW),Line Flow ( 1 to 2),Line Flow (1 to 3),Bus2-generator(MW),Bus2-generator(MVR),Bus2-load(MW),Line Flow ( 2 to 1),Line Flow (2 to 3),Bus3-generator(MW),Bus3-generator(MVR),Bus3-load(MW),Line Flow ( 3 to 2),Line Flow (3 to 1),Current Time
100,2,100,17,-17,150,114,200,-17,-33,150,35,100,33,17,06:02 AM
143,-8,100,41,2,150,134,228,-41,-37,150,47,114,38,-2,06:19 AM
183,-17,100,64,19,150,154,255,-63,-41,150,58,127,42,-19,06:34 AM
203,-22,100,75,28,150,164,268,-74,-43,150,63,134,44,-28,06:42 AM
223,-26,100,87,37,150,174,281,-86,-45,150,69,141,46,-37,06:50 AM
244,-30,100,98,46,150,185,295,-97,-48,150,74,148,48,-45,06:58 AM
291,-39,100,125,66,150,208,325,-123,-52,150,87,163,53,-65,07:17 AM
312,-43,100,137,75,150,219,339,-135,-54,150,93,170,55,-74,07:25 AM
331,-47,100,148,84,150,229,352,-145,-56,150,99,176,57,-83,07:33 AM
374,-54,100,172,102,150,250,379,-169,-61,150,111,190,61,-101,07:49 AM
395,-58,100,184,112,150,261,393,-180,-63,150,117,196,63,-110,07:57 AM
417,-61,100,196,121,150,273,407,-192,-65,150,123,203,65,-119,08:06 AM
